maximum_temperature,seasonal_normal_temperature,temp_deviation,relative_humidity,wind_speed,forecast_weather_data,heatwave_label
44.6,37.8,6.8,40.1,4.7,44.5,Severe Heatwave
37.8,37.6,0.1,22.5,22.2,37.3,Normal
37.2,36.2,1.0,55.9,12.1,37.4,Normal
40.2,35.5,4.7,71.3,16.4,40.3,Heatwave
44.9,39.5,5.5,42.9,13.3,45.2,Heatwave
40.1,39.5,0.6,64.4,22.1,37.6,Normal
37.8,38.2,-0.4,57.7,14.6,36.7,Normal
37.5,36.7,0.8,42.5,13.1,36.7,Normal
38.9,36.7,2.2,28.5,23.3,39.1,Normal
42.7,38.6,4.1,62.6,18.6,42.9,Normal
40.5,39.5,1.0,71.3,4.6,41.1,Normal
42.6,39.4,3.2,61.2,6.1,42.9,Normal
45.6,38.9,6.7,21.1,20.1,44.3,Severe Heatwave
40.5,38.2,2.3,33.0,21.2,42.0,Normal
37.5,35.4,2.1,24.2,14.5,38.8,Normal
31.5,35.8,-4.3,54.2,14.8,30.2,Normal
31.3,39.5,-8.2,65.4,16.5,31.6,Normal
40.4,38.0,2.4,26.6,12.1,39.8,Normal
35.7,35.0,0.7,70.3,17.6,35.9,Normal
34.7,35.5,-0.8,53.3,4.5,35.8,Normal
40.2,38.3,1.9,61.4,24.1,42.3,Normal
35.8,35.0,0.8,78.3,19.3,36.6,Normal
40.8,35.8,4.9,25.0,16.5,41.0,Heatwave
39.0,37.7,1.3,74.1,9.3,38.7,Normal
36.8,38.5,-1.6,27.6,5.7,37.0,Normal
42.7,38.3,4.5,43.6,11.4,44.1,Normal
36.4,36.1,0.2,71.1,17.2,36.3,Normal
41.4,38.6,2.8,74.4,16.6,40.5,Normal
35.5,36.2,-0.7,50.4,10.8,33.9,Normal
35.4,36.6,-1.3,55.6,16.1,35.9,Normal
40.0,38.7,1.3,62.5,20.7,40.3,Normal
39.3,38.2,1.0,70.0,2.6,38.6,Normal
41.9,39.2,2.7,27.3,12.4,43.0,Normal
38.3,38.3,0.1,68.6,19.4,37.9,Normal
32.4,37.8,-5.4,48.9,14.6,32.3,Normal
35.0,35.5,-0.5,47.0,17.0,34.9,Normal
40.6,36.8,3.8,45.4,13.9,40.3,Normal
36.3,36.3,-0.0,50.6,24.8,36.5,Normal
36.4,36.2,0.1,76.7,3.3,37.5,Normal
44.3,39.9,4.5,52.9,13.3,43.2,Normal
35.5,37.0,-1.5,77.2,4.1,36.0,Normal
35.1,39.5,-4.4,30.8,5.7,35.2,Normal
38.6,38.2,0.4,63.4,10.8,38.7,Normal
38.3,39.0,-0.7,68.7,5.6,39.2,Normal
35.1,37.5,-2.4,60.7,24.2,35.2,Normal
38.3,37.9,0.4,56.4,23.8,38.8,Normal
40.2,37.5,2.7,53.9,9.7,40.9,Normal
36.9,36.0,1.0,71.7,16.7,36.4,Normal
40.7,38.6,2.1,69.3,14.3,41.0,Normal
43.8,36.4,7.3,27.3,20.8,43.5,Severe Heatwave
34.9,35.1,-0.2,70.9,16.4,34.8,Normal
40.2,38.2,2.0,44.8,2.0,39.9,Normal
35.1,35.9,-0.8,35.2,19.6,35.6,Normal
37.7,39.7,-2.0,72.2,19.2,37.8,Normal
38.7,39.8,-1.0,45.9,13.7,39.1,Normal
38.9,39.6,-0.7,68.5,22.8,38.9,Normal
39.1,36.9,2.3,35.8,22.9,37.5,Normal
44.3,35.1,9.2,20.2,14.0,44.3,Severe Heatwave
38.1,39.6,-1.5,49.7,16.0,38.2,Normal
36.7,37.1,-0.5,26.0,24.9,36.9,Normal
40.6,39.8,0.8,65.3,8.9,40.0,Normal
42.2,39.8,2.4,36.6,9.5,41.0,Normal
41.2,39.3,1.9,46.6,6.2,41.8,Normal
42.0,36.5,5.5,25.2,22.6,41.7,Heatwave
29.4,36.9,-7.5,37.2,19.1,29.6,Normal
31.9,39.3,-7.4,66.9,4.4,31.6,Normal
35.8,36.6,-0.7,29.1,24.6,35.8,Normal
40.7,35.8,4.8,58.8,18.8,40.2,Heatwave
33.3,37.8,-4.5,75.0,21.6,32.3,Normal
30.2,39.7,-9.5,60.8,3.1,30.6,Normal
41.5,38.5,3.0,68.7,13.6,40.9,Normal
39.7,37.9,1.9,26.5,18.1,39.9,Normal
32.7,35.5,-2.8,35.0,14.5,33.1,Normal
35.6,38.1,-2.4,73.7,17.3,35.0,Normal
37.6,40.0,-2.4,62.9,20.8,36.4,Normal
37.1,35.7,1.4,58.4,10.6,39.5,Normal
36.4,37.6,-1.2,59.8,21.5,35.9,Normal
42.1,39.4,2.7,44.9,5.7,42.7,Normal
29.7,38.7,-9.0,22.7,8.2,31.7,Normal
36.5,38.5,-2.0,67.1,3.0,37.3,Normal
35.6,38.5,-2.9,60.7,10.4,35.3,Normal
36.9,36.8,0.1,48.4,10.7,36.8,Normal
35.6,36.5,-0.9,74.0,20.5,34.8,Normal
42.8,39.0,3.8,40.2,17.0,43.7,Normal
33.5,39.1,-5.5,37.7,12.0,34.1,Normal
40.5,39.3,1.2,72.4,17.0,40.0,Normal
42.5,39.6,3.0,67.8,3.2,41.5,Normal
45.1,37.6,7.5,50.9,6.1,43.7,Severe Heatwave
36.8,37.5,-0.7,27.8,16.4,37.8,Normal
41.1,39.0,2.1,32.9,16.8,41.2,Normal
32.9,38.2,-5.3,59.4,19.8,33.2,Normal
31.1,38.5,-7.4,43.1,11.3,30.3,Normal
42.9,39.0,4.0,70.2,18.6,41.5,Normal
40.4,39.5,1.0,77.0,17.7,41.4,Normal
41.8,36.7,5.1,68.3,24.2,41.9,Heatwave
33.1,36.9,-3.8,42.7,6.9,34.0,Normal
38.3,35.5,2.8,67.3,14.7,37.9,Normal
45.4,37.9,7.5,41.1,15.8,45.2,Severe Heatwave
37.6,35.2,2.5,30.0,25.0,38.4,Normal
39.3,37.3,2.0,22.0,6.6,40.0,Normal
38.7,37.7,1.0,43.1,14.0,39.5,Normal
31.9,36.4,-4.5,74.2,10.0,31.6,Normal
43.7,38.0,5.7,34.3,14.1,44.3,Heatwave
34.0,35.2,-1.1,32.4,7.3,35.1,Normal
38.0,35.2,2.8,78.2,3.1,37.8,Normal
34.6,39.1,-4.5,21.5,15.2,34.1,Normal
33.7,36.8,-3.1,67.1,9.7,35.0,Normal
41.7,35.6,6.0,39.3,6.2,41.0,Heatwave
37.4,37.6,-0.2,22.2,9.5,38.0,Normal
44.9,38.8,6.1,75.1,3.1,44.9,Heatwave
36.8,36.1,0.7,28.4,23.9,35.0,Normal
32.7,38.1,-5.4,53.1,15.4,33.8,Normal
39.5,35.4,4.1,36.4,20.7,36.8,Normal
34.2,35.3,-1.1,23.9,11.7,32.2,Normal
41.1,37.7,3.4,23.0,22.8,41.6,Normal
38.8,37.7,1.1,26.9,13.1,39.3,Normal
33.8,38.2,-4.4,24.3,15.2,33.1,Normal
40.2,38.6,1.6,65.6,13.3,40.4,Normal
48.6,39.9,8.7,49.1,18.9,46.0,Severe Heatwave
40.3,37.6,2.7,40.6,15.0,41.0,Normal
37.4,36.6,0.8,45.1,8.2,37.7,Normal
43.7,39.0,4.8,75.7,5.3,43.7,Heatwave
38.1,36.4,1.7,74.6,15.9,38.1,Normal
38.9,37.2,1.7,62.9,13.3,39.4,Normal
32.6,35.4,-2.8,73.1,4.2,32.5,Normal
36.9,35.1,1.8,39.2,11.1,35.1,Normal
44.4,39.8,4.6,42.9,13.8,46.6,Heatwave
37.3,39.2,-1.9,56.8,21.0,38.5,Normal
44.5,38.5,6.0,57.4,3.8,43.2,Heatwave
37.7,37.0,0.7,48.9,10.0,37.4,Normal
33.8,35.9,-2.1,44.0,20.9,33.5,Normal
40.3,35.8,4.5,79.2,16.9,41.4,Normal
36.2,36.3,-0.0,69.3,8.7,34.1,Normal
41.4,37.7,3.7,46.1,21.4,40.9,Normal
38.6,38.6,-0.0,63.6,13.3,36.8,Normal
39.1,38.3,0.8,36.2,13.5,38.8,Normal
39.1,36.4,2.7,26.0,24.5,38.7,Normal
41.8,39.8,2.0,41.1,23.8,41.9,Normal
32.7,38.7,-6.0,44.2,10.2,32.1,Normal
34.8,37.8,-2.9,21.0,5.2,34.1,Normal
42.3,38.1,4.3,68.9,9.5,42.9,Normal
37.6,37.1,0.5,41.6,2.7,38.1,Normal
35.4,36.2,-0.8,54.8,2.5,36.0,Normal
33.0,36.8,-3.8,24.4,11.1,32.8,Normal
36.0,38.8,-2.8,30.5,23.6,35.4,Normal
29.0,35.1,-6.1,73.4,22.0,28.9,Normal
36.2,35.6,0.6,56.5,13.8,36.7,Normal
34.1,35.2,-1.1,77.0,15.0,32.0,Normal
32.8,35.2,-2.4,79.9,2.1,33.2,Normal
40.0,39.3,0.8,42.3,7.0,40.3,Normal
40.8,38.5,2.3,37.9,2.6,40.9,Normal
45.7,37.4,8.3,71.5,19.4,45.5,Severe Heatwave
31.2,35.5,-4.3,79.9,5.3,28.6,Normal
42.5,37.5,5.1,57.8,22.0,42.1,Heatwave
41.8,37.4,4.4,67.7,16.8,43.6,Normal
34.1,35.9,-1.7,66.9,7.3,34.2,Normal
38.9,37.2,1.7,41.3,5.6,38.6,Normal
36.4,37.0,-0.6,54.5,16.4,36.4,Normal
39.7,38.1,1.6,70.0,22.7,40.1,Normal
44.5,38.2,6.3,61.3,18.5,45.1,Heatwave
38.3,35.2,3.1,21.3,10.0,38.1,Normal
39.7,36.9,2.8,40.2,15.5,40.1,Normal
37.6,38.1,-0.5,28.7,9.1,39.3,Normal
33.3,37.5,-4.2,34.0,25.0,34.3,Normal
39.6,39.3,0.3,74.3,19.2,41.9,Normal
43.5,38.3,5.2,22.2,16.1,42.9,Heatwave
31.5,35.8,-4.3,33.2,11.7,33.1,Normal
32.7,35.4,-2.7,38.6,16.2,31.9,Normal
39.7,38.2,1.4,57.0,9.9,40.0,Normal
32.7,35.1,-2.4,52.0,2.7,33.4,Normal
36.2,37.9,-1.8,33.1,11.1,35.6,Normal
39.2,39.7,-0.5,29.9,23.4,39.3,Normal
34.1,37.9,-3.8,34.2,16.4,35.0,Normal
34.5,36.9,-2.4,50.2,3.9,33.8,Normal
41.7,38.2,3.5,36.3,22.4,43.3,Normal
33.7,37.3,-3.6,76.9,8.2,32.3,Normal
33.1,37.7,-4.6,47.8,7.6,35.1,Normal
38.5,39.7,-1.2,23.5,8.8,39.5,Normal
40.5,36.9,3.6,63.8,15.3,40.4,Normal
40.1,39.8,0.3,39.7,14.5,39.7,Normal
38.9,39.5,-0.6,59.2,13.3,38.4,Normal
37.1,36.0,1.2,36.8,18.5,37.0,Normal
30.2,35.3,-5.1,54.2,9.3,30.2,Normal
38.2,35.5,2.7,66.3,20.0,39.5,Normal
37.4,35.1,2.3,75.7,6.0,39.4,Normal
35.0,35.5,-0.4,35.7,20.0,35.2,Normal
42.9,38.4,4.5,40.1,17.3,42.1,Heatwave
32.4,35.4,-2.9,47.9,17.7,31.9,Normal
41.5,36.6,4.9,75.6,13.1,41.4,Heatwave
40.8,39.2,1.5,74.1,17.3,39.7,Normal
34.9,35.1,-0.2,25.4,3.8,33.8,Normal
40.0,39.1,0.9,27.9,21.6,42.1,Normal
37.0,36.4,0.6,49.7,3.3,37.3,Normal
40.9,35.6,5.3,26.4,5.4,40.0,Heatwave
35.7,38.5,-2.8,40.7,15.3,36.5,Normal
36.5,38.1,-1.7,28.9,19.0,35.3,Normal
44.0,39.4,4.6,58.2,3.8,42.9,Heatwave
37.6,38.7,-1.1,77.0,23.2,36.8,Normal
43.2,39.0,4.2,79.8,24.4,44.8,Normal
43.4,36.4,6.9,42.5,15.9,43.1,Severe Heatwave
35.5,35.9,-0.4,55.9,13.1,33.0,Normal
42.1,38.8,3.4,71.4,19.1,43.3,Normal
36.0,39.0,-3.0,27.0,9.6,35.7,Normal
43.6,40.0,3.6,61.4,13.3,41.7,Normal
38.8,37.1,1.7,44.5,23.1,38.4,Normal
39.5,36.9,2.7,32.4,24.0,40.0,Normal
37.6,38.9,-1.3,44.2,23.3,38.0,Normal
31.9,36.7,-4.8,24.6,8.0,33.7,Normal
42.4,39.7,2.8,61.7,7.3,41.6,Normal
33.1,39.3,-6.2,35.2,8.8,33.1,Normal
37.0,37.1,-0.1,38.7,12.2,36.3,Normal
43.0,38.8,4.3,27.3,9.2,41.5,Normal
40.4,38.8,1.7,71.9,10.6,41.3,Normal
43.3,35.5,7.8,49.6,16.3,43.8,Severe Heatwave
44.1,39.5,4.6,54.3,19.5,44.4,Heatwave
36.2,37.5,-1.3,54.2,18.9,36.7,Normal
40.2,39.1,1.1,44.6,20.7,39.5,Normal
37.4,36.6,0.8,31.6,2.7,36.4,Normal
34.9,39.5,-4.5,64.7,3.1,35.0,Normal
34.7,36.9,-2.3,27.6,20.2,35.8,Normal
34.1,35.1,-1.0,26.2,14.3,35.7,Normal
33.4,39.5,-6.1,62.6,15.3,34.2,Normal
36.6,35.5,1.2,32.5,3.2,36.7,Normal
36.7,36.6,0.1,38.4,7.9,37.0,Normal
34.9,39.8,-4.9,48.5,16.7,34.9,Normal
42.2,39.8,2.4,47.0,21.8,41.1,Normal
41.4,37.9,3.5,62.5,23.1,41.4,Normal
40.0,38.2,1.8,57.4,13.5,38.6,Normal
37.1,37.2,-0.1,58.7,14.5,37.0,Normal
39.5,36.5,3.1,62.8,21.2,41.2,Normal
40.0,36.6,3.4,37.6,14.4,40.8,Normal
40.4,38.4,2.1,39.3,13.9,39.5,Normal
36.9,38.8,-1.9,46.3,22.8,36.8,Normal
40.9,39.0,2.0,38.4,20.2,40.1,Normal
44.1,38.9,5.2,79.1,22.9,44.1,Heatwave
34.4,35.5,-1.1,68.8,7.0,35.4,Normal
45.8,37.5,8.3,29.9,14.1,46.5,Severe Heatwave
34.4,35.3,-0.8,20.3,21.4,36.9,Normal
38.9,37.7,1.1,22.6,4.6,40.1,Normal
35.9,37.2,-1.4,34.6,20.3,36.1,Normal
41.2,39.4,1.8,26.9,6.2,41.9,Normal
31.7,36.8,-5.1,52.0,20.6,31.5,Normal
34.7,35.6,-0.9,71.5,16.1,33.5,Normal
32.9,35.7,-2.8,64.2,6.4,34.2,Normal
40.3,38.8,1.5,32.9,12.9,41.3,Normal
42.6,38.1,4.5,44.0,17.7,42.3,Normal
38.8,35.5,3.3,50.5,16.6,39.0,Normal
28.1,35.4,-7.3,68.6,11.8,29.4,Normal
46.7,38.5,8.1,70.3,22.7,47.5,Severe Heatwave
37.4,35.4,2.0,74.6,13.9,35.9,Normal
37.4,39.1,-1.7,50.6,13.6,37.6,Normal
40.1,38.5,1.5,61.7,3.4,39.9,Normal
37.0,35.4,1.6,26.7,23.2,38.1,Normal
34.1,35.4,-1.3,53.9,6.1,35.1,Normal
41.6,39.9,1.7,34.9,14.2,42.9,Normal
35.7,36.9,-1.1,45.9,20.5,34.6,Normal
36.4,36.9,-0.4,58.0,7.0,35.7,Normal
37.7,39.1,-1.4,35.4,14.1,38.8,Normal
35.7,39.7,-4.0,23.1,7.5,35.1,Normal
41.4,39.9,1.5,20.6,19.5,39.9,Normal
41.8,38.8,3.0,21.3,15.0,42.3,Normal
39.7,36.9,2.8,20.5,21.7,39.1,Normal
39.3,35.4,3.9,26.6,22.6,41.1,Normal
41.0,38.9,2.1,34.4,16.9,41.3,Normal
36.9,37.8,-0.9,33.3,18.7,37.1,Normal
41.1,37.1,3.9,79.2,14.6,40.7,Normal
35.8,39.5,-3.8,38.4,10.8,37.4,Normal
33.4,35.6,-2.2,27.6,16.9,33.8,Normal
35.1,37.5,-2.4,52.7,22.9,34.7,Normal
39.8,35.1,4.8,71.5,11.6,39.0,Normal
41.6,37.3,4.3,60.7,9.2,41.6,Normal
38.0,35.3,2.7,37.8,10.9,37.0,Normal
40.3,35.6,4.8,53.7,12.0,41.4,Heatwave
33.5,35.6,-2.1,62.9,3.7,31.7,Normal
40.5,38.2,2.2,63.7,13.5,40.3,Normal
39.3,38.7,0.6,60.0,13.4,39.9,Normal
41.9,37.9,4.0,72.2,15.5,42.2,Normal
40.4,39.8,0.6,72.2,10.3,39.7,Normal
36.5,36.9,-0.3,54.7,16.1,37.2,Normal
39.3,36.4,2.9,45.8,22.2,38.4,Normal
43.4,39.3,4.1,58.5,24.0,43.4,Normal
34.8,36.1,-1.3,69.1,15.4,35.4,Normal
40.6,39.8,0.8,20.3,3.0,41.1,Normal
32.4,35.1,-2.7,79.5,24.3,31.7,Normal
32.1,39.8,-7.7,31.0,18.2,33.3,Normal
36.9,35.2,1.7,48.2,9.7,37.0,Normal
42.6,39.5,3.1,72.3,5.4,43.3,Normal
39.6,37.6,1.9,33.5,5.3,41.1,Normal
34.1,40.0,-5.8,48.6,5.9,35.3,Normal
35.1,35.4,-0.2,28.0,3.0,36.3,Normal
31.0,37.8,-6.8,43.7,22.7,31.2,Normal
45.6,39.8,5.8,30.6,14.4,46.4,Heatwave
34.8,37.6,-2.8,41.8,18.1,35.0,Normal
43.5,38.1,5.4,42.4,21.0,42.3,Heatwave
